Country/Area,Population numbers for 2016a,GNI per capita for 2016 in US dollarsb,Income levelc,Reported number of road traffic deaths,death estimate,Estimated road traffic death rate per 100 000 populationd ,Drivers/ Passengers of 4-wheeled vehicles,Drivers/Passengers of 2- or 3- wheelers,Cyclists,Pedestrians,Other or unspecified users
Indonesia,261115456,3400,Middle,31282,31726,12.2,4.9,73.6,3.2,15.5,2.7
Iran (Islamic Republic of),80277424,6530g,Middle,15932,16426,20.5,48.7,24.1,0.6,21.6,5
Iraq,37202572,5430,Middle,4134,7686,20.7,, , , , 
Ireland,4726078,52560,High,188,194,4.1,62.2,11.7,5.3,18.6,2.1
Israel,8191828,36190,High,335,345,4.2,46.3,12.2,2.7,28.7,10.1
Italy,59429936,31590,High,3428,3333,5.6,42.8,25.6,7.3,17.6,6.7
Jamaica,2881355,4660,Middle,379,391,13.6,33,28.8,8.4,22.2,7.7
Japan,127748512,38000,High,4682,5224,4.1,32.4,17.2,15.1,35,1
Jordan,9455802,3920,Middle,750,2306,24.4,71.3h,0,0,28.7,0
Kazakhstan,17987736,8710,Middle,2625,3158,17.6,59.8,4.3,1.7,30.9,3.3
Kenya,48461568,1380,Middle,2965,13463,27.8,36.4h,24.2,2.4,37,0
Kiribati,114395,2380,Middle,5,5,4.4,40,20,0,40,0
Kuwait,4052584,41680g,High,424,715,17.6,, , , , 
Kyrgyzstan,5955734,1100,Middle,812,916,15.4,27.6,2.1,0.2,40,30
Lao People’s Democratic Republic,6758353,2150,Middle,1086,1120,16.6,, , , , 
Latvia,1970530,14630,High,158,184,9.3,44.9,12,4.4,34.8,3.8
Lebanon,6006668,7680,Middle,576,1090,18.1,42.4h,20.7, ,37,0
Lesotho,2203821,1210,Middle,318,638,28.9,, , , , 
Liberia,4613823,370,Low,175,1657,35.9,, , , , 
Libya,6293253,4730g,Middle,2414,1645,26.1,75,1.9,2.3,20.8,0
Lithuania,2908249,14770,High,192,234,8,46.4h,5.7,8.9,38,1
Luxembourg,575747,76660,High,32,36,6.3,62.5,9.4,3.1,25,0
Madagascar,24894552,400,Low,340,7108,28.6,52.9h, , ,47.1,0
Malawi,18091576,320,Low,1122,5601,31,31.1,3.2,16,49.6,0.1
Malaysia,31187264,9850,Middle,7152,7374,23.6,, , , , 
Maldives,427756,7430,Middle,4,4,0.9,0,75,0,25,0
Mali,17994836,750,Low,541,4159,23.1,27.9,42.3,2.4,11.5,15.9
Malta,429362,24140,High,22,26,6.1,18.2,40.9,4.5,27.3,9.1
Mauritania,4301018,1120,Middle,184,1064,24.7,, , , , 
Mauritius,1262132,9760,Middle,144,173,13.7,16.7,45.8,6.9,30.6,0
Mexico,127540424,9040,Middle,16039,16725,13.1,18.4h,9.6,1.1,28.5,42.4
Micronesia (Federated States of),104937,3680,Middle,2,2,1.9,50,0,0,50,0
Mongolia,3027398,3550,Middle,484,499,16.5,39.3,18.6,1.2,28.7,12.2
Montenegro,628615,6970,Middle,65,67,10.7,64.6,15.4,1.5,13.8,4.6
Morocco,35276784,2850,Middle,3785,6917,19.6,31.2,28.7,5.9,26.3,7.9
Mozambique,28829476,480,Low,1379,8665,30.1,, , , , 
Myanmar,52885224,1190g,Middle,4887,10540,19.9,10.8,64.8,3.1,14.2,7.1
Namibia,2479713,4620,Middle,731,754,30.4,, , , , 
Nepal,28982772,730,Low,2006,4622,15.9,, , , , 
Netherlands,16987330,46310,High,621,648,3.8,38,21.4,29.8,9.2,1.6
New Zealand,4660833,39070,High,327,364,7.8,68.5,15.9,1.5,7.6,6.4
Niger,20672988,370,Low,978,5414,26.2,, , , , 
Nigeria,185989632,2450,Middle,5053,39802,21.4,, , , , 
Norway,5254694,82330,High,135,143,2.7,49.6,17,8.9,11.9,12.6
Oman,4424762,18080g,High,692,713,16.1,64.7,3.9,0.7,22.5,8.1
Pakistan,193203472,1510,Middle,4448,27582,14.3,, , , , 
Panama,4034119,12140,Middle,440,575,14.3,32.3,4.4,5.7,40,17.5
Papua New Guinea,8084991,2160g,Middle,158,1145,14.2,52.5, , ,47.5,0
Paraguay,6725308,4070,Middle,1202,1529,22.7,16.5,52.2,0.2,22.5,8.7
Peru,31773840,5950,Middle,2696,4286,13.5,2.5,0.6,0.2,8.1,88.6
