,General information,,,Road traffic deaths,,,,Road user death (%),,,,,VEHICLE STANDARDS,,,,,,,,,,,,,,,National drink driving law,Based on BAC / BrAC,% road traffic deaths involving alcohol,National maximum legal BAC levels (g/dl),,,Motorcycle helmet law,,,,,,,Children passengers on motorcycles   ,,,number of registered vehicles,National mobile phone law,Mobile phone law ,,Modelled number of road traffic deathsd,,Estimated road traffic death rate per 100 000 populationd ,National speed limit law,Maximum default speed limits (km/h),,,Provider training and certification ,,,
Country/Area,Population numbers for 2016a,GNI per capita for 2016 in US dollarsb,Income levelc,Reported number of road traffic deaths,Modelled number of road traffic deathsd,,Estimated road traffic death rate per 100 000 populationd ,Drivers/ Passengers of 4-wheeled vehicles,Drivers/Passengers of 2- or 3- wheelers,Cyclists,Pedestrians,Other or unspecified users,,,,,,,,,Child restraint systems law,"National seat
belt law",Seat-belt wearing rates (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prehospital providers,Nurses,Specialist doctors,
,,,,,Point estimate,95% Confidence Interval,,,,,,,Seat-belts,Seat-belt anchorages,Frontal impact,Side impact, Electronic stability control,Pedestrian protection,Child seats,Motorcycle anti-lock bracking system,National child restraint law,,Drivers only ,, Front-seat occupants,Rear-seat occupants,All occupants,,,,General population , Young / novice drivers,Professional / commercial drivers,National motorcycle helmet law,Applies to driver,"Applies to adult
passengers",Applies to all roads,Applies to all engines,Helmet fastening required,Standard referred to and / or specified,,,,,,Applies to hand-held phone use,Applies to hands-free phone use,Point estimate,95% Confidence Interval,,,urban,rural,motorways,Formal certification pathway,Post graduate courses in emergency and trauma care,Emergency medicine ,Trauma surgery
China,1411415375,8260,Middle,58022e,256180, - ,18.2,0,0,0,0,0,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,36.7,,0.0,0.0,0.0,Yes,Yes,0.4,<0.02,<0.02,<0.02,Yes,Yes,Yes,Yes,Yes,No,Yes,Prohibited under 12 yrs,,,294694457,Yes,Yes,No,256180, - ,18.2,Yes,50,70,120,Yes,No,No,No
Colombia,48653420,6320,Middle,7158,8987, - ,18.5,8.4,52.5,5.3,26,7.8,No,No,No,No,No,No,No,No,No,Yes,75,,64.2,2.2,47.1,Yes,Yes,–,<0.02,<0.02,<0.02,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,13477996,Yes,Yes,No,8987, - ,18.5,Yes,80,120,120,Yes,Yes,Yes,Yes
Comoros,795601,760,Low,23,211,177 - 245,26.5,65.2,17.4,0,17.4,0,No,No,No,No,No,No,No,No,No,No,0,,0.0,0.0,0.0,Yes,No,–,—,—,—,No,—,—,—,—,—,—,Not restricted,,,34898,No,−,−,211,177 - 245,26.5,Yesk,−,−,−,No,No,No,No
Congo,5125821,1710,Middle,308,1405,1124 - 1687,27.4,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,22,,4.0,4.0,0.0,Yes,Yes,–,≤0.08,≤0.08,≤0.08,Yes,Yes,Yes,Yes,No,No,No,Prohibited under 5 yrs,,,0,Yes,Yes,Yes,1405,1124 - 1687,27.4,Yes,60,110,No,No,No,No,No
Cook Islands,17379,…,High,5e,3,,17.3,20,80,0,0,0,No,No,No,No,No,No,No,No,No,No,0,,0,0,0,Yes,Yes,39,≤0.08,≤0.08,≤0.08,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,12453,No,−,−,3,,17.3,Yes,50,50,50,No,No,No,No
Costa Rica,4857274,10840,Middle,795e,812, - ,16.7,24,40,10.4,24.7,0.9,No,No,No,No,No,No,No,No,Yes,Yes,77.8,,75.1,35.6,76.7,Yes,Yes,31.2,≤ 0.05,≤ 0.02,≤ 0.02,Yes,Yes,Yes,Yes,Yes,No,Yes,Prohibited under 5 yrs,,,1991398,Yes,Yes,No,812, - ,16.7,Yes,50,60,No,Yes,Yes,Yes,Yes
Côte d’Ivoire,23695920,1520,Middle,991,5582,4635 - 6529,23.6,11.1,35,0.3,40.2,13.4,No,No,No,No,No,No,No,No,No,Yes,0,,0.0,0.0,0.0,Yes,Yes,–,<0.08,<0.08,<0.08,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,905537,Yes,Yes,Yes,5582,4635 - 6529,23.6,Yes,60,110,120,Yes,Yes,Yes,Yes
Croatia,4213265,12110,Middle,307,340, - ,8.1,48.2,16,8.8,21.8,5.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,61.1,,61.9,13.9,58.0,Yes,Yes,23.8,≤0.05,0.00,0.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Prohibited under 12 yrs,,,1996056,Yes,Yes,No,340, - ,8.1,Yes,50,90,130,Yes,No,Yes,Yes
Cuba,11475982,6570g,Middle,750,975, - ,8.5,10.1,15.6,9.9,33.2,31.2,No,No,No,No,No,No,No,No,No,Yes,35,,30.0,0.0,0.0,Yes,Yes,33.3,≤0.01,0.00,0.00,Yes,Yes,Yes,Yes,Yes,Yes,No,Prohibited under 7 yrs,,,633369,Yes,Yes,Yes,975, - ,8.5,Yes,50,90,100,Yes,Yes,Yes,Yes
Cyprus,1170125,23680,High,46,60, - ,5.1,34.8,21.7,4.3,30.4,8.7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0.0,0.0,0.0,Yes,Yes,17.4,≤0.05,≤0.02,≤0.02,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Prohibited under 12 yrs,,,650805,Yes,Yes,No,60, - ,5.1,Yes,65,No,100,Yes,Yes,No,No
Czechia,10610947,17570,High,611,630, - ,5.9,53.7,10.3,8.7,21.3,6.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,95,,98.0,72.0,0.0,Yes,Yes,9.5,≤0.03,≤0.03,≤0.03,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Prohibited under 12 yrs,,,7325789,Yes,Yes,No,630, - ,5.9,Yes,50,90,130,Yes,Yes,Yes,Yes
Democratic Republic of the Congo,78736152,420,Low,385,26529,21142 - 31915,33.7,36.1,11.7,0,51.9,0.3,No,No,No,No,No,No,No,No,No,Yes,0,,0.0,0.0,0.0,Yes,Yes,–,<0.10,<0.10,<0.10,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,0,No,−,−,26529,21142 - 31915,33.7,Yes,60,90,120,No,No,No,Yes
Denmark,5711870,56730,High,211,227, - ,4,48.3,16.1,14.7,17.1,3.8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,88,,96.0,91.0,0.0,Yes,Yes,–,≤0.05,≤0.05,≤0.05,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Prohibited under 5 yrs / 135 cm,,,3131673,Yes,Yes,No,227, - ,4,Yes,50,80,130,-,Yes,No,No
Dominica,73543,6750,Middle,10e,8, - ,10.9,10,0,60,10,20,No,No,No,No,No,No,No,No,No,Yes,0,,0.0,0.0,0.0,Yes,Yes,–,≤0.08,≤0.08,≤0.08,No,—,—,—,—,—,—,Not restricted,,,35796,No,−,−,8, - ,10.9,No,−,−,−,No,No,No,No
Dominican Republic,10648791,6390,Middle,3118,3684, - ,34.6,11,67,1,17,4,No,No,No,No,No,No,No,No,Yes,Yes,45,,18.0,5.0,34.0,Yes,Yes,–,≤0.05,0.00,0.00,Yes,Yes,Yes,Yes,Yes,No,Yes,Prohibited under 8 yrs,,,3854038,Yes,Yes,No,3684, - ,34.6,Yes,60,60,120,Yes,No,Yes,No
Ecuador,16385068,5820,Middle,2894,3490, - ,21.3,5.2,19.1,1.8,19.8,54,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,80,,26.0,2.0,36.0,Yes,Yes,6.8,≤ 0.03,≤ 0.03,≤ 0.01,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Prohibited under 7 yrs,,,1925368,Yes,Yes,No,3490, - ,21.3,Yes,60,120,135,Yes,Yes,Yes,Yes
Egypt,95688680,3460,Middle,8211,9287, - ,9.7,45.1,5.5,1.2,26.9,21.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,,0.0,0.0,0.0,Yes,No,–,—,—,—,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,8412673,Yes,Yes,No,9287, - ,9.7,Yes,60,90,100,Yes,Yes,Yes,No
El Salvador,6344722,3920,Middle,1215,1411, - ,22.2,32.1,14.2,1.4,49,3.3,No,No,No,No,No,No,No,No,Yes,Yes,0,,0.0,0.0,0.0,Yes,Yes,–,<0.05,<0.05,<0.05,Yes,Yes,Yes,Yes,Yes,Yes,No,Not restricted,,,1008080,Yes,Yes,Yes,1411, - ,22.2,Yes,50,90,No,No,No,No,No
Equatorial Guinea,1221490,6550,Middle,41e,300,221 - 379,24.6,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,Yes,–,≤0.08,≤0.08,≤0.08,Yes,Yes,Yes,Yes,No,No,No,Prohibited under 5 yrs,,,143000,Yes,Yes,Yes,300,221 - 379,24.6,Yes,60,110,No,Yes,Yes,Yes,Yes
Eritrea,4954645,520g,Low,130,1255,1025 - 1485,25.3,36.2,1.5,9.2,25.4,27.7,No,No,No,No,No,No,No,No,No,Yes,80,,80.0,0.0,0.0,Yes,Yes,–,≤0.05,≤0.05,≤0.03,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,72405,Yes,Yes,No,1255,1025 - 1485,25.3,Yes,60,100,No,No,No,No,No
Estonia,1312442,17750,High,71,80, - ,6.1,52.1,1.4,7,31,8.5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,97.8,,97.3,81.8,95.0,Yes,Yes,10,<0.02,<0.02,<0.02,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Prohibited under 12 yrs,,,865040,Yes,Yes,No,80, - ,6.1,Yes,50,90,No,No,Yes,Yes,Yes
Eswatini,1343098,2830,Middle,203,361,296 - 427,26.9,53.7h,0.5,2,43.8,0,No,No,No,No,No,No,No,No,No,Yes,0,,0.0,0.0,0.0,Yes,Yes,–,<0.05,<0.05,<0.02,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,99830,Yes,Yes,No,361,296 - 427,26.9,Yes,100,100,100,Yes,Yes,Yes,Yes
